ID,chunk,transcript,anger,disgust,fear,joy,sadness,analytical,confident,tentative,openess,conscientiousness,extraversion,agreeableness,emotional_range
133,3,Dame Sally Coates was asked to lead an independent review of education in prisons. This was published on 18th May 2016 and we have accepted in principle all the recommendations,0,0,0.03,0.03,0.06,0,0,0,0.91,0.99,0.83,0.93,0.78
900,1, We have had no reports of such allegations but would take appropriate and robust action in such circumstances.   Public protection is our top priority and we will,0.01,0,0.02,0.04,0.03,0,0,0,0.95,0.91,0.98,0.93,0.73
495,8,"evidence considered by Dame Clare Tickell in her 2011 review. A report of the evidence can be found at: <a href=\https://www.gov.uk/government/publications/the-early-years-foundation-stage-review-report-on-the-evidence\\ target=\\""_blank\\"">https://www.gov.uk/government/publications/the-early-years-foundation-stage-review-report-on-the-evidence</a>       A number""",0,0,0.08,0.07,0.02,0,0,0,0.96,0.84,0.44,0.93,0.69
667,7,which many schools use to fund mental health provision at current pupil rates. Within these protections we announced in December 2015 that an additional <a3>92.5 million will specifically be provided,0,0,0.03,0.04,0.02,0,0,0,0.22,0.66,0.47,0.93,0.61
495,9,of other important reviews have also informed this department's policy on early education. These include reports by Graham Allen MP in 2011 on early intervention and Professor Sir Michael Marmot,0,0,0,0.04,0.02,0,0,0,0.55,0.8,0.74,0.93,0.57
569,6,can be dramatic. Good mental health is one of the four positive outcomes for all children and young people with special educational needs or disabilities (SEND) that are at the,0,0,0.01,0.12,0.05,0,0,0,0.88,0.67,0.79,0.93,0.17
684,2,performance of a prison. The Secretary of State will then publish his response and a plan of action within 28 days. Both the Chief Inspector's letter and the Secretary of,0.01,0,0.04,0.03,0.06,0,0,0,0.95,0.96,0.75,0.92,0.9
291,1, My colleagues have recently met with Ministerial counterparts at the Department of Health to discuss healthcare in prisons including drug treatment.   The Secretary of State for Justice,0.01,0,0.01,0.02,0.17,0,0,0,0.8,0.9,0.78,0.92,0.72
305,1, On 11 January 2016 my Rt Hon Friend the Prime Minister announced that we are committing <a3>70 million to our careers strategy over this Parliament to continue the transformation,0,0,0.02,0.05,0.09,0,0,0,0.04,0.99,0.73,0.92,0.69
549,2,guidance says that health services and local authorities should share information (such as live birth data and data on families with children under five who have recently moved into the,0,0,0.01,0.11,0.04,0,0,0,0.68,0.54,0.88,0.92,0.65
307,3,courts and criminal justice system. Now the election has passed further consideration can be given to this work. We will announce further details in due course.,0.01,0,0.02,0.02,0.12,0,0,0,0.74,0.93,0.49,0.92,0.64
287,3,local emergency departments. In the event of a medical emergency a man may be transferred to local services if care cannot be provided within HMP Berwyn but men are transferred,0,0,0.02,0.03,0.04,0,0,0,0.71,0.57,0.44,0.92,0.39
328,1, Prisoners are only held in police custody following a court appearance in exceptional circumstances. For example when a court is sitting late and there is not enough time to,0.01,0,0.05,0.02,0.11,0,0,0,0.77,0.81,0.9,0.92,0.37
911,2,published earlier this month we set out how we will also work with NHS England Public Health England and the Welsh Government to improve measurement of mental health outcomes. We,0,0,0.04,0.04,0.07,0,0,0,0.14,0.57,0.41,0.92,0.17
487,3,Universal Credit is introduced this will rise to 85% of costs. From autumn 2015 almost 2 million families could benefit from a new tax free childcare scheme worth up to,0,0,0.03,0.16,0.02,0.01,0,0,0.33,0.69,0.49,0.91,0.91
603,3,that we are taking to improve safety. They include investing over <a3>100m to recruit an additional 2500 staff across the estate by the end of 2018. We will carefully study,0,0,0.05,0.04,0.02,0,0,0,0.42,0.98,0.62,0.91,0.9
499,3,Inspector will write to the hon. Member and a copy of his response will be placed in the House library. Some providers such as schools with nursery provision for children,0.01,0,0.03,0.04,0.03,0,0,0,0.89,0.9,0.63,0.91,0.86
17,1, A third of all crime is committed by people who have been in prison. If we want to reduce crime we need to make sure that time spent in,0.01,0.01,0.08,0.02,0.14,0,0,0,0.53,0.99,0.54,0.91,0.86
165,3,Intervention Grant and no money allocated by this means was recovered by the Department.,0.01,0.01,0.06,0.05,0.04,0,0,0,0.83,0.81,0.71,0.91,0.84
795,4,is available to support eligible people who are struggling to meet the costs of visiting someone in prison.   The Secretary of State commissioned Lord Farmer to investigate how,0,0,0.02,0.02,0.24,0,0,0,0.49,0.83,0.61,0.91,0.82
72,1, As the Justice Secretary has announced we are investing over <a3>100m in staffing and will recruit an extra 2500 prison officers to increase safety and support prisoners to reform.,0.01,0,0.01,0.02,0.1,0,0,0,0.35,0.88,0.81,0.91,0.79
219,5,by the Approved Premises this will be facilitated.,0.03,0.03,0.06,0.1,0.11,0,0,0,0.86,0.99,0.32,0.91,0.75
728,5,safety and fire team</li><li>Request that an issue is put on the agenda of the national Occupational Health Safety and Fire Whitley Committee</li></ul>   In addition to the internal mechanisms,0,0,0.01,0.03,0.03,0,0,0,0.71,0.9,0.62,0.91,0.7
944,1, We will close down ageing and ineffective prisons replacing them with buildings fit for today's demands. On 22 March 2017 my Rt Hon friend the Lord Chancellor and Secretary,0,0,0.01,0.03,0.18,0,0,0,0.5,0.98,0.75,0.91,0.61
361,12,years from April 2015 to secure better access to specialist services for children and young people with mental health problems. This will mean that at least 100000 more children and,0,0,0.01,0.03,0.16,0,0,0,0.19,0.44,0.5,0.91,0.51
287,1, Men who present with issues which may require attendance at hospital short of emergency medical issues are assessed by health professionals before any decision is made to take them,0,0,0.1,0.03,0.07,0,0,0,0.87,0.81,0.55,0.91,0.44
578,3,Britain and five national organisations including UK Youth and the Scottish Youth Parliament will be sharing <a3>4.2 million aimed at ensuring every eligible person in the country is signed up,0,0,0.02,0.04,0.09,0,0,0,0.32,0.57,0.78,0.91,0.38
205,2,forward improvements. I review details of every self-inflicted death to see how we might prevent others. We are improving support for prisoners in their early days in custody and working,0,0,0.03,0.03,0.06,0,0,0,0.44,0.91,0.11,0.91,0.35
849,6,beyond. All early years providers must have arrangements in place to identify and support children with SEN or disabilities. ,0.01,0.03,0.03,0.05,0.08,0,0,0,0.47,0.58,0.72,0.91,0.19
534,5,in Custody and we also meet regularly with key partners such as the Samaritans.,0.01,0,0.06,0.26,0.04,0,0,0,0.81,0.54,0.86,0.91,0.18
478,4,and community sector projects supporting the mental health needs of children and young people as well as supporting Childline which provides a free 24-hour UK wide counselling service supporting young,0,0,0.01,0.05,0.06,0,0,0,0.44,0.38,0.64,0.91,0.17
727,2,prison measures in the Courts Bill.   We remain absolutely committed to continuing to reform our prisons delivering our white paper to make them places of reform and rehabilitation.,0.01,0.01,0.01,0.02,0.08,0,0,0,0.4,0.94,0.76,0.9,0.89
821,2,is why we are investing an extra <a3>100m annually to boost the frontline by 2500 officers. Every officer will be responsible for a case load of six offenders making sure,0.01,0,0.03,0.04,0.02,0,0,0,0.34,0.97,0.77,0.9,0.86
726,9,Rules).</li></ul> The government is committed to supporting prisoners to establish or maintain relationships with their families and significant others where appropriate. The Lord Farmer published his report in August produced,0,0,0.01,0.03,0.16,0,0,0,0.7,0.98,0.31,0.9,0.8
546,10,and how we will get there by 2020.,0,0,0,0,0,0,0,0,0.61,0.91,0.52,0.9,0.77
565,3, As part of this investment in extra staff we are introducing key workers who will be prison officers to whom prisoners will be able to turn to for advice,0.04,0,0.01,0.02,0.18,0,0,0,0.42,0.93,0.62,0.9,0.71
646,9,"to tax evasion in England &amp  Wales by financial year from 2008/09 to 2014/15 can be viewed in table 2.   Table 1.<td colspan=\7\\> Individuals imprisoned for non-payment""",0,0,0.02,0.03,0.04,0,0,0,0.04,0.73,0.72,0.9,0.61
361,4,"and Health Education (PSHE) Association published guidance funded by the Department for Education on providing age-appropriate teaching about mental health problems. This guidance can be found at: <a href=\\http://www.pshe-association.org.uk/emotionalhealth\\"" target=\\""_blank\\"">www.pshe-association.org.uk/emotionalhealth</a>.""",0,0,0.02,0.04,0.02,0,0,0,0.6,0.7,0.55,0.9,0.54
501,1, The Department for Education's Sure Start children's centres statutory guidance says that health services and local authorities should share information (such as live birth data and data on families,0,0,0,0.12,0.02,0,0,0,0.53,0.47,0.81,0.9,0.53
690,3,proceeded against at magistrates courts and found guilty and sentenced at all courts for offences under Section 89 (1) (2) Police Act 1996  England and Wales 2010 to 2015,0.01,0,0.09,0.02,0.06,0,0,0,0.51,0.74,0.83,0.9,0.48
559,2,able to. That includes parents of children with disabilities and therefore we will of course consider issues of funding and accessibility for those children.      ,0,0,0.01,0.03,0.07,0,0,0,0.92,0.82,0.41,0.9,0.43
88,2,grants under Section 31 of the Local Government Act (2003)<strong> </strong>in England and Wales and via invoices in Scotland and was given to EROs to meet their statutory obligations around,0,0,0.04,0.05,0.02,0,0,0,0.26,0.53,0.62,0.9,0.23
563,5,  We will be investing an extra <a3>1 billion per year in the free early years entitlements by 2019/20 including <a3>300 million per year to increase the national average,0,0,0.05,0.04,0.04,0,0,0,0.01,0.82,0.51,0.89,0.92
800,2,significantly increasing staff numbers by recruiting a net 2500 extra prison officers by December 2018. This will allow us to introduce a new key worker role in which all prison,0.01,0,0.01,0.02,0.07,0.27,0,0,0.41,0.9,0.64,0.89,0.91
565,4,and support throughout their sentence. It is planned that each prison officer will have a case load of approximately 6 prisoners for whom they will be the dedicated officer.,0.02,0,0.02,0.02,0.11,0,0,0,0.91,0.99,0.57,0.89,0.91
580,3,online.       The Government has today announced that almost <a3>10 million will be given to local authorities and to national activity to boost the number,0,0,0.06,0.12,0.05,0,0,0,0.08,0.97,0.51,0.89,0.91
690,1, The number of defendants proceeded against at magistrates' courts and offenders found guilty and sentenced at all courts including those specifically sentenced to immediate custody with average custodial sentence,0.01,0,0.04,0.02,0.04,0,0,0,0.85,0.91,0.88,0.89,0.85
726,7,provision for searches and security and also policy for visit that take place in a special or closed visiting room or a similar closed environment where necessary and</li><li>Prison Service Instruction,0,0,0.01,0.04,0.05,0,0,0,0.74,0.83,0.66,0.89,0.77
941,2,a million workers will benefit directly from the increase many by up to <a3>900 a year. Some of those workers are employed in our schools. We will be expecting schools,0.01,0,0.02,0.04,0.04,0,0,0,0.38,0.82,0.43,0.89,0.77
827,1, This information could only be provided at disproportionate cost.,0.02,0.01,0.03,0.06,0.03,0,0,0,0.63,0.53,0.55,0.89,0.71
282,9,we are investing an additional <a3>1.4 billion in children and young people's and perinatal mental health services over the next 5 years. On top of this the Department for Education,0,0,0.01,0.08,0.05,0,0,0,0.19,0.68,0.72,0.89,0.47
569,2,to promote good mental health for all their pupils as well as providing early support where mental health problems have been identified.   To support them to do this,0,0,0.1,0.04,0.07,0,0,0,0.07,0.75,0.62,0.89,0.47
18,5,can be found below. Relevant OJEU notices can be found at http://ted.europa.eu/udl?uri=TED:NOTICE:45770-2015:TEXT:EN:HTML&amp tabId=4,0.02,0.03,0.09,0.08,0.08,0.32,0,0,0.7,0.25,0.57,0.89,0.2
85,7,per prisoner by individual prison establishment in the <e4><f3><d6>Cost by Establishment' tab.   The most recent published figures for financial year 2016-17 can be accessed on the www.gov.uk website,0,0,0.02,0.02,0.07,0,0,0,0.49,0.98,0.32,0.88,0.87
871,1, We are grateful to H M Inspectorate and the Care Quality Commission for their report. We are working with partner agencies across the criminal justice system as well as,0,0,0.01,0.1,0.07,0,0,0,0.6,1,0.97,0.88,0.84
324,1, Prison officers are highly valued public servants who do an important job protecting the public and keeping prisoners safe. The Justice Secretary recently met the POA to discuss their,0.02,0,0.01,0.03,0.08,0,0,0,0.72,0.9,0.92,0.88,0.84
835,1, This information is not held centrally.   I would like to give thanks to West Midlands Police who supported the Prison Service throughout the day and to the,0,0,0,0.04,0.02,0,0,0,0.26,0.84,0.57,0.88,0.79
554,3,Gibb Minister of State for School Reform attended an event hosted by the Diana Award to celebrate the work of its anti-bullying ambassadors. Edward Timpson Minister of State for Children,0,0,0.02,0.06,0.1,0,0,0,0.48,0.89,0.55,0.88,0.75
906,1, We have not reduced the allocation of top-up funding for children with special educational needs (SEN). We announced in December that we would provide an additional <a3>92.5 million nationally,0,0,0.01,0.07,0.01,0,0,0,0.27,0.89,0.47,0.88,0.71
554,8,how to help keep their children safe from cyberbullying the signs to look for that they might be being cyberbullied and how to respond if they are. This information is,0,0,0.02,0.04,0.02,0,0,0,0.63,0.97,0.64,0.88,0.69
559,1, The government is absolutely committed to supporting families with disabled children.   We want every eligible parent that wants to take advantage of the new entitlement to be,0.01,0.01,0.01,0.03,0.09,0,0,0,0.49,0.9,0.48,0.88,0.69
203,2,Justice intends to routinely publish information on prison drone incidents in the future and 2016 data will be provided in due course.   We remain vigilant to all incidents,0,0,0.02,0.02,0.06,0,0,0,0.73,0.83,0.67,0.88,0.68
265,1, It is hugely important that we pardon people convicted of historical sexual offences who would be innocent of any crime today. Through pardons and the existing disregard process we,0.04,0.01,0.01,0.03,0.04,0,0,0,0.99,0.96,0.83,0.88,0.64
907,3,Paper including our investment in an additional 2500 staff who will help deliver consistent purposeful regimes and allow us to introduce a new key worker role to support better staff-prisoner,0,0,0,0.03,0.08,0,0,0,0.35,0.76,0.53,0.88,0.61
374,1, Since 2011 representations on HMP Pentonville have been received by the Ministry of Justice from the Independent Monitoring Board reports and from HM Chief Inspector of Prisons. These reports,0.01,0,0.01,0.02,0.1,0,0,0,0.94,0.88,0.79,0.88,0.6
918,9, To inform future practice the Department for Education will be contributing <a3>1.5 million in 2015-16 to a joint pilot with NHS England which aims to improve knowledge of mental,0,0,0.03,0.03,0.04,0,0,0,0.16,0.65,0.24,0.88,0.58
404,1, The allegations made by BBC Panorama were extremely serious and were urgently investigated. In the White Paper published last November the Secretary of State clearly set out that levels,0,0,0.15,0.04,0.05,0,0,0,0.98,0.79,0.88,0.88,0.55
405,1, The allegations made by BBC Panorama were extremely serious and were urgently investigated. In the White Paper published last November the Secretary of State clearly set out that levels,0,0,0.15,0.04,0.05,0,0,0,0.98,0.79,0.88,0.88,0.55
686,4,may merit a punishment of additional days to a prisoner's time spent in custody if the prisoner or young person is found guilty. Only Independent Adjudicators can make an award,0.01,0,0.03,0.03,0.13,0,0,0.29,0.68,0.7,0.2,0.88,0.45
391,15,here is days rather than months values will differ slightly from published figures.</li><li>Excludes deportees.</li><li>HMP &amp  YOI Peterborough is a dual purpose prison for men and women.</li></ol>   Data,0,0,0.04,0.03,0.04,0,0,0,0.34,0.84,0.37,0.88,0.44
697,2,"in table 1.<td colspan=\8\\> <strong>Male offenders under 25 sentenced to immediate custody at all courts for indictable only offences Wales by police force area 2010 to 2015 <sup>(1)(2)</sup></strong></tr>  """,0,0,0.02,0.03,0.02,0,0,0,0.07,0.79,0.43,0.88,0.43
795,3,to help this process. Family days are held at most prisons where the family can spend time together in as normal an environment as possible. The Assisted Prison Visits Scheme,0,0,0,0.06,0.07,0,0,0,0.11,0.73,0.41,0.88,0.42
381,6,to 19 funding will be subject to the outcome of the next spending round where this decision may be revisited. ,0.01,0,0.12,0.06,0.05,0,0,0,0.34,0.82,0.17,0.88,0.39
107,8,incident is significant enough we bolster the local response by deploying specialist (Tornado) teams. Following this we help stabilise prisons after incidents by transferring disruptive prisoners.   In response,0.01,0,0.01,0.02,0.1,0,0,0,0.89,0.68,0.59,0.88,0.38
508,3,have an initial health screen at reception by clinical staff and may be referred for further treatment within or outside prisons where mental health needs are identified. Prison staff also,0,0,0.03,0.02,0.15,0,0,0,0.73,0.66,0.56,0.88,0.33
569,3,we have funded the PSHE Association to publish age-appropriate guidance to improve teaching about mental health within PSHE. This will be followed by a set of lesson plans spanning key,0,0,0.03,0.08,0.01,0,0,0,0.4,0.9,0.11,0.88,0.33
880,1, We are reviewing the circumstances of recent self-inflicted deaths in prison custody with a particular focus on cases where there were known mental health concerns. This is an internal,0,0,0.07,0.02,0.22,0,0,0,0.93,0.67,0.81,0.88,0.29
485,6,"<strong><a3>28101645</strong> <strong><a3>1380000000</strong></tr>     </tr></tbody></table>          \"",0,0,0.02,0.09,0,0.01,0,0,0.13,0.28,0.54,0.6,0.31486,1, The Department for Education has provided the Association of Independent Local Safeguarding Children Board Chairs with funding totalling <a3>460000 between September 2012 and March 2016 as follows: <strong>Financial year</strong>""",0,0,0.01,0.09,0.01,0,0,0,0.36,0.83,0.63,0.88,0.27
392,4,place and led by experienced and skilled practitioners. In this way restorative justice can help some victims cope and recover. As my Right Honourable and Learned Friend for North Hertfordshire,0.01,0,0.06,0.03,0.1,0,0,0,0.63,0.59,0.74,0.88,0.24
365,10,of keys and where keys have been forcibly taken from staff.</li><li>The figures quoted have been drawn from live administrative databases and may subsequently be amended. Due care is taken during,0,0,0.03,0.07,0.05,0,0,0,0.68,0.78,0.22,0.88,0.01
195,2,Bill is being led by the Department with external support from Deloitte. Findings from the review will inform decisions made as part of the Spending Review. The government review is,0,0,0.01,0.03,0.04,0,0,0,0.93,0.98,0.71,0.87,0.95
766,1, The Secretary of State has received the Rt hon. Member for Birkenhead's letter of 15 February 2016 about free school meals and will respond shortly and within the normal,0,0,0.03,0.03,0.07,0,0,0,0.68,1,0.16,0.87,0.93
271,5,society. Last week we set out our plans for prison safety and reform in order that custody better prepares offenders to lead law-abiding lives after release.,0.01,0,0.02,0.03,0.11,0,0,0,0.44,0.99,0.41,0.87,0.91
10,2,termination by either party  by warning notice  by the Secretary of State after inspection  by the Secretary of State  and a change of control. The Regional,0.01,0,0.09,0.03,0.08,0,0,0,0.93,0.86,0.79,0.87,0.84
970,2,of Tribunals) Order 2008 and the Senior President's Practise Statement provides that all PIP appeals subject to limited exceptions must be heard by a judge and a medical and disability,0.01,0,0,0.03,0.07,0,0,0,0.98,1,0.72,0.87,0.83
855,2,to take the necessary action to make sure our vital reforms are being delivered to reduce reoffending cut crime and prevent future victims. As part of this review we will,0,0,0.03,0.03,0.05,0,0,0,0.41,0.97,0.41,0.87,0.83
892,1, We have already announced increased annual investment of <a3>1 billion for the early years entitlements within the ring-fenced Dedicated Schools Grant by 2019-20 which includes <a3>300 million per year,0,0,0.05,0.07,0.03,0,0,0,0.02,0.9,0.24,0.87,0.82
554,10,<a3>25 million voluntary and community sector grant which includes work to address all bullying in schools  and a <a3>2 million grant in conjunction with the Government Equalities office to,0,0,0.05,0.03,0.04,0,0,0,0.19,0.82,0.63,0.87,0.79
945,2,better education facilities and other rehabilitative services. On 22 March 2017 my Rt Hon friend the Lord Chancellor and Secretary of State for Justice announced plans for the building of,0,0,0.01,0.06,0.07,0,0,0,0.59,0.96,0.7,0.87,0.77
870,6,residential prison officer supporting a caseload of around 6 prisoners. This will mean prisoners have a consistent named officer to challenge and support them away from violence and reoffending. We,0.02,0,0.02,0.02,0.3,0,0,0,0.84,0.94,0.7,0.87,0.69
925,1, We remain committed to introducing a national funding formula from 2017 so that schools can start benefitting from fairer funding as soon as possible. This reform will mean the,0,0,0.04,0.06,0.02,0,0,0,0.31,0.9,0.47,0.87,0.67
