question,response
To ask the Secretary of State for Education what steps he is taking to increase the number of students studying for a degree in ICT & Computer Science.,"The Higher Education Statistics Agency (HESA) collects and publishes statistics on students obtaining qualifications from UK Higher Education Institutions. The latest statistics refer to the academic year 2016/17 and can be found at: <a href=\https://www.hesa.ac.uk/news/11-01-2018/sfr247-higher-education-student-statistics/qualifications\"" target=\""_blank\"">https://www.hesa.ac.uk/news/11-01-2018/sfr247-higher-education-student-statistics/qualifications.</a> The numbers of first degree qualifiers in computer sciences subjects from the academic year 2010/11 onwards are provided in the table below: First degree qualifiers<sup>1</sup> in Computer Sciences subjects<sup>2</sup>UK Higher Education Institutions academic years 2010/11 to 2016/17<table><tbody>Academic yearNumber of qualifiers2010/11145052011/12152252012/13155652013/14160802014/15155952015/16152802016/1716805</tbody></table> Source: HESA Student Record Notes <ol>Counts are on the basis of full-person-equivalents. Where a student is studying more than one subject they are apportioned between the subjects that make up their course.Computer sciences is the most appropriate JACS3 classification for ˜ICT &amp; Computer Science. More information is available here: <a href=\""https://www.hesa.ac.uk/support/documentation/jacs/jacs3-detailed\"" target=\""_blank\"">https://www.hesa.ac.uk/support/documentation/jacs/jacs3-detailed.</a>Figures are rounded to nearest 5 and so the sum of columns may not add to totals.</ol>  In relation to increasing the number of students studying for a degree in ICT and computer science the government is undertaking a range of initiatives to promote digital and computing skills throughout the education system. For example the government is investing £84 million of new funding over the next five years to deliver a comprehensive programme to improve the teaching of the computing curriculum and increase participation in computer science GCSE. The government is also seeking to strengthen the role that higher education providers can play in providing digital and computing skills. This will be through supporting the establishment of a new Institute of Coding to serve as a national focus for improving digital skills provision at levels 6 and 7 with a £20 million fund to improve higher-level digital skills with joint collaborations between universities and businesses and to focus on computer science and digital skills in related disciplines. This will ensure the courses better meet employers needs. Additionally there is funding to support universities to develop conversion courses in engineering and computer science that allow graduates from other subjects to undertake further study and pursue careers in engineering and computer science."""
To ask the Secretary of State for Education what steps his Department is taking to tackle anti-semitism on university campuses.,"This government takes anti-Semitism extremely seriously. There is no place in our society - including within higher education “ for hatred or any form of harassment discrimination or racism including anti-Semitism. Higher education providers are autonomous organisations independent from government. They have a clear responsibility to provide a safe and inclusive environment. In September 2015 the government asked Universities UK (UUK) to set up a Harassment Taskforce to consider what more can be done to address harassment and hate crime on campus including antisemitism. The taskforces report ˜Changing the Culture published in October 2016 recommended a zero-tolerance approach to harassment and hate crime. On 27 July 2017 UUK published a directory of case studies detailing the innovative projects universities have developed to address the taskforces recommendations. These include Goldsmiths hate crime reporting centre (case study 11) which is a joint initiative with the local authority in Lewisham and the Metropolitan Police which provides students and staff with a safe space to report incidents. These are published on UUKs website: <a href=\http://www.universitiesuk.ac.uk/policy-and-analysis/reports/Pages/changing-the-culture-case-studies.aspx\"" target=\""_blank\"">http://www.universitiesuk.ac.uk/policy-and-analysis/reports/Pages/changing-the-culture-case-studies.aspx</a>. In addition the Higher Education Funding Council for England (HEFCE) has provided £1.8 million for projects to improve responses to hate crime and online harassment on campus. HEFCE is currently working with UUK to test the sectors response to the Taskforces recommendations and the results of this will be published early this year. On the 16 January the government announced a partnership between the Ministry of Housing Communities &amp; Local Government and the Department for Education. These departments are providing £144261 of joint funding for a new programme to support universities in tackling antisemitism on campus. The programme will be delivered by the Holocaust Educational Trust and will involve 200 students and university leaders from across the country visiting the former Nazi concentration camps at Auschwitz-Birkenau. Upon their return they will take part in a seminar which will deal explicitly with campus issues and how to identify and tackle antisemitism."""
To ask the Secretary of State for Education how many people graduated with a STEM degree in each of the last four years for which figures are available.,"The Higher Education Statistics Agency (HESA) collects and publishes statistics on students obtaining qualifications from UK Higher Education Institutions (HEIs). The latest statistics refer to the academic year 2016/17: <a href=\https://www.hesa.ac.uk/news/11-01-2018/sfr247-higher-education-student-statistics/qualifications\"" target=\""_blank\"">https://www.hesa.ac.uk/news/11-01-2018/sfr247-higher-education-student-statistics/qualifications</a>. Information on first degree qualifiers in Science Technology Engineering and Mathematics (STEM) subjects from the academic year 2013/14 onwards has been provided in the table below. First degree qualifiers<sup>1</sup> in STEM<sup>2</sup> subjects at UK HEIsAcademic years 2013/14 to 2016/17<table><tbody>Academic yearNumber of qualifiers<sup>3</sup>2013/141749502014/151704802015/161724802016/17181215</tbody></table>Source: HESA Student RecordNotes<ol>Counts are on the basis of full-person-equivalents. Where a student is studying more than one subject they are apportioned between the subjects that make up their course.STEM subjects are defined by HESA as subject groups A to K under the JACS3 classification. More information is available here: <a href=\""https://www.hesa.ac.uk/support/documentation/jacs/jacs3-detailed\"" target=\""_blank\"">https://www.hesa.ac.uk/support/documentation/jacs/jacs3-detailed</a>.Figures rounded to nearest five and so the sum of columns may not add to totals.</ol>   """
To ask the Secretary of State for Education pursuant to the Answer of 23 October 2017 to Question 108254 when he intends to set out further steps on the review of higher education student finance.,As stated in the Industrial Strategy white paper published on 27 November 2017 the government is committed to conducting a major review of funding across tertiary education to ensure a joined-up system that works for everyone. This review will look at providing an education system for those aged 18 years and over that is accessible to all and provides value for money. It will also look how choice and competition is incentivised across the sector. The government will set out further details of the review in due course.
To ask the Secretary of State for Business Energy and Industrial Strategy what recent discussions he has had with Queen's University on funding for that institution for medical research.,There have not been any recent Ministerial discussions with Queens University Belfast regarding funding for medical research. The Government provides funding for medical research through the Medical Research Council (MRC). The table below sets out funding to Queens University Belfast over financial years 2012/13 to 2016/17: <table><tbody> 12/1313/1414/1515/1616/17MRC22300002513000271500035540003782264</tbody></table>
To ask the Secretary of State for Business Energy and Industrial Strategy what recent results have been achieved from medical research conducted by British and Israeli scientists through the Britain-Israel Research and Academic Exchange Partnership.,BIRAX will soon have funded 19 collaborative research projects focused on regenerative medicine and raised almost £10 million of funding more than 90% of it from research foundations and philanthropic donors. This year a major new initiative BIRAX Ageing will launch which will be the main academic research theme for the next 4-5 years.Principal Investigators presented BIRAX supported research at 71 conferences and workshops to over 21000 Principal Investigators postdoctoral students and students across 22 countries including the US India China France Japan Germany Sweden as well as to audiences in the UK and Israel. To date 27 scientific articles have been published as a result of BIRAX projects and BIRAX funded research has been cited 635 times.Three of the seven BIRAX projects which concluded in 2016 have registered patents and two project teams have been approached by biotech companies expressing an interest in licensing their intellectual property. Three BIRAX projects have secured further funding for research initiated under the BIRAX initiative.  
To ask the Secretary of State for Business Energy and Industrial Strategy whether he has made an estimate of the value of early-phase research to the UK economy in the last 12 months.,The Industrial Strategy White Paper sets out the central role of science in meeting the UKs productivity challenge.We get a high rate of return for our investment in Science “ 20% per annum in perpetuity - and the UK research base is highly productive in terms of article and citation outputs per researcher and per pound spent on R&amp;D. With only 0.9% of the global population 4.1% of researchers the UK accounts for 6.3% of research articles 10.7% of citations and 15.2% of the most highly-cited research articles.The UK has the largest independent multi-year rolling programme for evaluating the quality and impact of our investment in science through the Research Excellence Framework (REF). The 2014 REF which reported in 2015 found that the quality of research from UK universities has improved significantly since 2008 consistent with other independent evidence. Just over three quarters of submissions were either ˜World Class or ˜Internationally Excellent. Preparations for the next REF due in 2021 have already started.
To ask the Secretary of State for Business Energy and Industrial Strategy what sum his Department has spent on the UK space sector since 2010.,"The UK Space Agency was established on 1 April 2011. The net operating expenditure for the period is £2.253bn between the Agencys establishment up to and including the 2017/18 budget allocation. <table><tbody>Financial year2011/122012/132013/142014/152015/162016/172017/18*Total Net operating expenditure2562373233163503713992253<td colspan=\3\"">*Budget allocation for the financial year      </tbody></table> Key segments of investment are subscriptions to the European Space Agency (ESA) which results in ESA expenditure with UK companies under the ˜juste retour policy National Programme grants and other International Partnerships e.g. ODA delivered through UK companies. Further information can be found in the published UK Space Agency Annual Report and Accounts for each financial year.  """
To ask the Secretary of State for Education what estimate his Department has made of the cost to the public purse of establishing and maintaining the Office for Students in each of the next five years.,"The original estimates for the cost of the Office for Students (OfS) were included in the ˜Case for Creation of the Office for Students (June 2016): <a href=\https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/527757/bis-16-292-ofs-case-for-creation.pdf\"" target=\""_blank\"">https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/527757/bis-16-292-ofs-case-for-creation.pdf</a>. An updated estimate of the governments contribution for the expected operating expenses of the OfS can be found in the ˜Introducing registration fees for Office for Students Consultation Impact Assessment (December 2017) in Table 5: <a href=\""https://consult.education.gov.uk/he-landscape-reform/ofs-registration-fees-and-other-fees-stage-2/supporting_documents/OfS%20consulation%20Impact%20Assessement%20.pdf\"" target=\""_blank\"">https://consult.education.gov.uk/he-landscape-reform/ofs-registration-fees-and-other-fees-stage-2/supporting_documents/OfS%20consulation%20Impact%20Assessement%20.pdf</a>. These are estimates using a baseline of the costs for the Higher Education Funding Council for England and Office for Fair Access and are subject to ongoing review between the department and the OfS as part of annual business planning processes to ensure good value for money."""
To ask the Secretary of State for Education what due diligence was carried out during the appointment process for board members for the Office for Students.,"I refer the hon. Member for Manchester Central to the answer I gave on 19 January 2018 to Question 121441:<a href=\http://www.parliament.uk/business/publications/written-questions-answers-statements/written-questions-answers/?page=1&amp;max=20&amp;questiontype=AllQuestions&amp;house=commons%2clords&amp;uin=121441\"" target=\""_blank\"">http://www.parliament.uk/business/publications/written-questions-answers-statements/written-questions-answers/?page=1&amp;max=20&amp;questiontype=AllQuestions&amp;house=commons%2clords&amp;uin=121441</a>. """
To ask the Secretary of State for Business Energy and Industrial Strategy whether the UK leaving the EU will affect the contracts to produce the payloads for the European Union Global Navigation satellite system in the UK.,The Joint Report issued by the UK and EU negotiating teams on 8 December was clear that UK entities would be able to continue to participate in all EU programmes including the space programmes financed by the current Multiannual Financial Framework which ends in 2020. Clearly there will be further discussions on exactly what this means for the individual programmes during Phase 2 of negotiations but the principle set out in the report is that eligibility of entities located in the UK will be unaffected by the UKs withdrawal from the EU. 
To ask the Secretary of State for Education whether capital funding commitments for universities which have been agreed by the Higher Education Funding Council for England but not yet disbursed will be honoured by the Office for Students.,It is the Office for Students (OfS) intention that funding commitments agreed by the Higher Education Funding Council for England but not yet disbursed in full by 31 March 2018 will be honoured by the OfS and/or by UK Research and Innovation subject to monitoring arrangements and other terms and conditions of grant.
To ask the Secretary of State for Education what steps his Department is taking to assist people from BAME backgrounds to be better represented in university arts courses and stage schools.,The Department for Culture Media and Sport has commissioned research to understand the existing barriers that prevent people from lower income households and under-represented groups such as those from Black Asian and minority ethnic (BAME) backgrounds specifically from becoming professionals in the performing arts. It is important that the performing arts are representative of society as a whole. One of the ways this can be achieved is by doing more to ensure more people from BAME backgrounds go on to higher education. We now see record numbers of 18 year olds from all ethnicities entering full-time higher education according to data published by The Universities and Colleges Admissions Service. However for some groups of students from ethnic minorities there is more to do to improve their participation - their retention success and progression to higher education. That is why the most recent guidance to the Director of Fair Access in February 2016 asked him to focus on activity to continue to improve access and participation into higher education for students from disadvantaged and under-represented backgrounds.We are also introducing sweeping reforms through legislation. The Higher Education and Research Act includes the creation of the Office for Students which has a statutory duty to consider the promotion of equality of opportunity for students as it relates to access and participation. It also includes a transparency duty requiring all universities to publish applications offers acceptance and retention rates broken down by gender ethnicity and social economic background. This will help to hold universities to account for their records on access and retention.
To ask the Secretary of State for Education what his Department's policy is on the no-platforming at universities of (a) Al-Muhajiroun (b) the British National Party (c) the English Defence League (d) Hizb-ut-Tahir (e) the Muslim Public Affairs Committee and (f) National Action; and if he will make a statement.,Al-Muhajiroun and National Action are proscribed under the Terrorism Act 2000. Membership is illegal and these groups should not be given a platform at universities. Universities have a legal duty to take reasonable steps to ensure freedom of speech including for visiting speakers (under the Education Act (No 2) 1986). The government therefore does not support blanket no-platforming of individuals or organisations who are legally exercising their right to freedom of speech; it is for universities to balance their legal duties on a case-by-case basis. The governments position on this issue has been publicly stated on a number of occasions.
To ask the Secretary of State for Education with reference to the Consumer Rights Act 2015 what responsibilities the Office of Students will have to uphold the consumer rights of students.,Higher education providers (HEPs) can have responsibilities under consumer law including under the Consumer Rights Act 2015 which should be discharged fully and policies and procedures should be in place to comply with the law. The Competition and Markets Authority (CMA) has published guidance to help HEPs understand and meet their obligations under consumer law. This guidance sets out that students should have access to clear specific and timely information; understandable fair and transparent terms and conditions; and clear and fair complaints handling processes. The government published a consultation on behalf of the new Office for Students (OfS) regarding the regulation of the higher education sector which closed on the 22 December 2017. The consultation includes a proposal that the OfS will require registered higher education providers in the approved and approved (fee cap) categories to demonstrate that in developing their policies and procedures governing their contractual and other relationships with students they have given due regard to relevant guidance such as that of CMA as to how to comply with consumer law. A response will be published in due course.
